"id","group","value"
1,"con",29.1945360491048
2,"con",29.0088331139971
3,"con",31.7564072539046
4,"con",9.71937699804255
5,"con",9.41792407531067
6,"con",20.0979821414357
7,"con",9.98486169963582
8,"con",16.2965731350063
9,"con",30.82904706875
10,"con",18.2956349456301
11,"con",7.81996035105133
12,"con",9.47617188101264
13,"con",29.6524256591719
14,"con",14.6932031750661
15,"con",27.7307839129323
16,"con",34.2422342107513
17,"con",9.14463536626249
18,"con",8.83238073790581
19,"con",8.89268180735823
20,"con",9.70570614123629
21,"con",13.6607328406761
22,"con",31.9458335067522
23,"con",9.06405139883161
24,"con",32.0030265047269
25,"con",29.8936823625134
1,"trt1",30.5165235243357
2,"trt1",29.3658817700776
3,"trt1",14.6753809528864
4,"trt1",15.6729455944076
5,"trt1",16.126111637989
6,"trt1",33.4119280144801
7,"trt1",16.3131769286656
8,"trt1",31.3952174233365
9,"trt1",15.0137856768839
10,"trt1",8.3709065309213
11,"trt1",8.65900680789997
12,"trt1",9.53410245959389
13,"trt1",9.29055996248749
14,"trt1",8.19396874319805
15,"trt1",12.970075981016
16,"trt1",14.9304792203923
17,"trt1",29.616812459043
18,"trt1",9.00565992370434
19,"trt1",12.218598106597
20,"trt1",8.97634427703612
21,"trt1",29.6444200846714
22,"trt1",30.5103920019917
23,"trt1",12.6843829046112
24,"trt1",8.93135727632542
25,"trt1",9.49874193940524
1,"trt2",16.6534463193004
2,"trt2",14.2866103816964
3,"trt2",17.1742443979307
4,"trt2",13.5472285231919
5,"trt2",13.1220211715416
6,"trt2",14.2547250640999
7,"trt2",19.1733311267196
8,"trt2",20.1799397281689
9,"trt2",27.3177288865719
10,"trt2",22.4771857328671
11,"trt2",27.8312533444304
12,"trt2",19.0841767897473
13,"trt2",26.6034815382697
14,"trt2",26.488694372347
15,"trt2",21.1335937855157
16,"trt2",21.4004282013782
17,"trt2",28.7108125839929
18,"trt2",42.8292546686695
19,"trt2",44.4900177694363
20,"trt2",40.8830943423699
21,"trt2",47.5506967713657
22,"trt2",46.6499920532733
23,"trt2",41.4164163611925
24,"trt2",46.0666508909992
25,"trt2",43.5758445794119
