"year" "value"
2017 81.1884162371961
NA 86.4247484256417
NA 102.622482726024
2018 106.77848509442
NA 100.919624512065
NA 96.808746418133
NA 97.2625785668187
NA 116.908394918127
NA 79.0481667907055
2019 110.916872377551
NA 89.7928791440737
NA 95.2650430024596
NA 99.6193084725536
NA 92.9258699518615
NA 111.754636570336
NA 97.3027328861901
NA 106.291301829194
NA 101.651756901454
NA 108.638885413083
NA 122.646251012105
NA 109.296581568113
NA 111.478770987609
2020 133.239448952381
NA 118.410299735636
NA 111.225802086119
NA 105.336303435044
NA 108.092480682665
NA 111.169812027898
NA 120.750229714031
NA 84.7614014921137
NA 90.9340669447024
NA 99.9436462796902
2021 108.392231453008
NA 89.20565918446
NA 93.7814129868144
NA 94.0309665316695
NA 106.974699152466
NA 103.666744827262
NA 94.3453777360447
NA 101.460758742987
NA 103.349447533069
NA 95.5193505953028
NA 88.3024637396129
2022 99.8146839415852
NA 106.598619514527
NA 91.8047129940406
NA 106.628509013723
NA 108.599024068994
NA 117.748816854542
NA 113.68787883256
